index,affluence,cultivation,employment,education,status,morality,leadership,prosociality,eo,global_citizenship,_stack,commonappid
119,.00403324,.20895413,.0077387262,.20790957,.079145625,.26680905,.17683861,.12029327,.12253725,.011026909,3,14095863
120,-.0010849622,.12157343,.058764838,.091275878,-.052929416,.23388684,.059325945,.091500387,.063139133,-.017270681,1,14096553
121,.072372541,.10408111,-.0026135829,.15684447,.10675301,.093821265,.041095857,.028075676,.36772272,.10846286,2,14096553
122,.056768462,.073318355,.10835089,.070711553,.12355568,.10139938,.092782721,.088741228,.13725951,.11041755,3,14096553
123,.059470225,.13397714,.022150706,.11997367,.13836391,.12813736,-.026664224,.0083948923,.18435445,.089893453,1,14096739
124,.067326151,.050022319,-.076603644,.027795644,-.033746503,.036033541,-.031982366,-.067287043,.1045111,-.017356802,2,14096739
125,.073239259,.17929886,.096017152,.11865582,.0511306,.18790105,.0023419308,-.059500325,.11525619,-.013430818,3,14096739
126,.079013474,.11674967,.058444593,.14788514,.046734445,.15962215,.071267165,.13772912,.12738672,.086705543,1,14096927
127,.11029193,.12577569,.028610315,.060317338,.053331081,.07381846,.017324731,.1026822,.14223465,.090783723,2,14096927
128,.1594324,.12232278,-.014036471,.13797075,.1849079,.12632084,.078350574,.23049131,.21408653,.10701416,3,14096927
129,-.035770278,.15985325,-.035209462,.12895523,.049204413,.15842538,.11892889,.24543436,.10555721,.058966603,1,14097018
130,.079655915,.027819391,-.008281379,.0047630677,.052609976,.060492355,-.027208121,-.00030551583,.11995687,.086381167,2,14097018
131,.14976375,.17946514,.019951819,.13082531,.12928635,.14641248,.15539904,.18279472,.21367683,.1675652,3,14097018
132,.017155619,.062409431,.028442774,.074487872,.0023433659,.096093118,.019393854,-.096868575,.13886793,-.0014772997,1,14097491
133,.016048305,-.0035789036,.0095635355,.03759053,.05038999,.016074512,-.051670704,-.0083128652,.01945813,-.029542016,2,14097491
134,.041273978,.12441392,-.0236621,.13864683,.06899634,.13558963,.055580352,.0079286667,.18836476,.091367573,3,14097491
135,.013491314,.15851977,-.065333612,.097007744,.073944613,.20498267,.19145806,.30434647,.25622052,.1845856,1,14101723
136,.048212074,.15265092,.054364279,.15158556,.14666523,.076492421,-.0035616567,.13215691,.18149546,.16137762,2,14101723
137,.077544726,.12386778,.0020990097,.11781558,.099598669,.16769187,.10491382,.097610384,.12950248,.1312647,3,14101723
138,.15364408,.15923238,-.014005548,.20073646,.08695925,.19515312,.13936907,.16507292,.16111438,-.050960723,1,14102506
139,.044133607,.074739277,.11196777,.043534834,.071623139,.077037893,-.007823593,.037985988,.087185964,.036971506,2,14102506
140,.11238215,.22225338,.034253914,.21188533,.12456233,.26433906,.19041303,.13399912,.14326142,.022736035,3,14102506
141,.033918746,.020607561,.084243156,.016941495,.016051598,.11226624,-.027964031,-.082927227,.16186285,.065102465,1,14102978
142,.11950716,.092198744,.048850462,.050834719,-.04693608,.10396405,.0093328413,-.014951001,.035808302,-.00070926966,2,14102978
143,.055558261,.13700409,-.055521224,.091887563,-.035754379,.20452926,.12657325,.12773228,.15358151,.0017811347,3,14102978
144,.08174222,.076395236,.015266914,.0087180166,-.043873437,.019669637,.056037359,.042029716,.046167336,.0023184889,1,14104861
145,.022470167,.1103,-.048216142,.041306213,-.065246813,.075564399,.14435312,.087949008,.06740205,.096659303,2,14104861
146,.059170417,.032694679,-.023398409,.12446898,.076571085,.044990417,-.035520073,-.015399254,.038244553,.11162625,3,14104861
147,.051139981,.13331082,-.0023637291,.082337849,.033023532,.10122987,.072521605,.071005084,.10961843,.18324538,1,14106772
148,-.0067180651,.095653795,.005330957,-.026060736,-.081846461,.15016639,-.0065308609,.020637911,-.034790408,.014136912,2,14106772
149,.091364451,.0026269204,-.0062318775,-.0051043639,.12837851,.052552216,.016617235,.08619801,.13148391,.10266837,3,14106772
150,.0022148269,.080298133,.024458956,.027963389,.075286768,-.00037662871,.11410147,.044442173,.11986933,.12628715,1,14108691
151,-.1143171,.083679438,-.00027372909,-.043463141,-.10728188,.027558364,-.0099308025,.15385249,.0093687829,.11167538,2,14108691
152,.04854906,.15496036,.033409763,.14444552,.033671152,.073109344,.11415912,.036952574,.15295498,.13639307,3,14108691
153,-.010765173,.01202444,.07214012,.071779855,.10695536,-.0096675614,.035526194,.054243434,.09238559,.00093061861,1,14110856
154,.073355347,.10818495,.051238425,.068979047,.051780388,-.011567664,-.0096387779,.017119763,.1642994,.0037687442,2,14110856
155,.097184546,.20548449,-.04660093,.21323724,.013886348,.15197764,.11315141,.09550491,.17251214,.12732765,3,14110856
156,-.033364579,.0080282912,.072468512,.027628683,-.0761915,.07464017,-.11226504,-.22569497,.014396947,-.018333076,1,14124340
157,.11890302,.12745248,.017136706,.092985071,.1591814,.022674009,-.025609648,.10419241,.17717195,.30345038,2,14124340
158,-.029341746,.083515309,-.061940435,.039248761,.017231956,.15556937,.099483028,-.035616677,.048878226,.030110491,3,14124340
159,.025586942,.077758752,.013036524,.073885716,.06118739,.10489262,.036597911,.20669885,.20719214,.11409623,1,14124631
160,.078030288,.15953912,.015403711,.2078127,.10253779,.17079824,.017736152,.08525227,.17622602,-.013023621,2,14124631
